objectid,eezid,name,area_km2,big_map_id,shape_leng,shape_area
3,16,American Samoa,404366.885662,164,29.8251957916,33.8287822995
7,36,Australia,6415339.47608,256,854.357376396,589.461844226
45,184,Cook Islands,1960012.78702,148,68.7365187752,165.387543212
61,242,Fiji,1282139.87329,251,108.509641625,109.536513904
66,258,French Polynesia,4771094.20084,276,172.936953754,410.819567335
108,459,Malaysia (Peninsula West),68547.4143296,26,32.3701066931,5.58753511046
109,460,Malaysia (Peninsula East),133386.378542,26,26.1786573185,10.8816040061
110,461,Malaysia (Sabah),91729.3862012,249,63.3513713675,7.49322174943
112,463,Malaysia (Sarawak),155871.734878,248,35.0707803227,12.6980340318
122,520,Nauru,308505.489644,19,19.0414282014,25.0748016553
124,540,New Caledonia (France),1422536.27664,160,81.2420579679,124.200512438
125,548,Vanuatu,827588.446198,184,69.8600986309,70.8014190608
126,554,New Zealand,3479816.01136,5,321.886720313,396.631599318
129,570,Niue (New Zealand),316587.464062,183,19.711268327,27.2546010008
134,583,Micronesia (Federated States of),2992411.60384,126,92.7846559892,245.118453443
135,584,Marshall Isl.,1992021.38863,127,76.7961090234,164.632475522
138,598,Papua New Guinea,2396557.35498,27,258.368117896,196.175387453
140,608,Philippines,2263813.73822,29,374.690349185,188.485905388
141,612,Pitcairn (UK),836115.469908,191,34.8397746124,74.574804233
147,626,Timor Leste,77048.3314019,28,18.8124232761,6.34884799535
178,772,Tokelau (New Zealand),319053.313163,181,21.6865811348,26.2135375644
179,776,Tonga,664785.562843,180,41.1481877486,57.5372242282
186,798,Tuvalu,751661.629536,177,51.472287882,61.6678994147
204,876,Wallis & Futuna Isl. (France),258277.171922,252,20.065154629,21.5090712542
205,882,Samoa,131534.207705,190,18.4158664756,10.9735633176
247,938,Indonesia (Indian Ocean),1408308.58923,277,174.925280882,115.205646645
250,941,Kiribati (Gilbert Islands),1048698.22748,147,55.0993104854,85.2721469132
251,942,Kiribati (Line Islands),1645367.85156,147,71.8583364393,134.635725384
252,943,Kiribati (Phoenix Islands),743052.469028,147,32.0218347722,60.525370849
51152,90,Solomon Isl.,1596372.69335,255,148.029233493,131.804245419
51299,585,Palau,604251.736577,265,34.1846523457,49.4290105797
54343,361,Indonesia (Eastern),3598158.59848,277,750.485583225,293.954717681
55338,937,Indonesia (Central),1016085.05536,277,192.562736122,82.6291085376
